DeltaM,MDF,Significance,XS,B,S,Efficiency
1.0,100.0,0.722389,0.3315,569978,545.64219493,0.0164597947189
1.0,105.0,0.599934,0.2848,569978,453.111492326,0.015909813635
1.0,110.0,0.497748,0.2465,569978,375.908143816,0.0152498232785
1.0,115.0,0.444453,0.2142,569978,335.646964518,0.015669792928
1.0,120.0,0.389396,0.1873,569978,294.057683876,0.0156998229512
1.0,125.0,0.32783,0.1646,569978,247.555187897,0.015039804854
1.0,130.0,0.284396,0.1453,569978,214.750572107,0.0147798053756
1.0,135.0,0.244792,0.1289,569978,184.84030448,0.0143398219146
1.0,140.0,0.214872,0.1145,569978,162.244758424,0.0141698478973
1.0,145.0,0.185432,0.1022,569978,140.012581726,0.0136998612256
1.0,150.0,0.163475,0.0915,569978,123.431899362,0.0134898250668
1.0,155.0,0.148239,0.0823,569978,111.926818783,0.0135998564743
1.0,160.0,0.124413,0.0742,569978,93.9356820787,0.0126597954284
1.0,165.0,0.107817,0.067,569978,81.4042914977,0.0121498942534
1.0,170.0,0.100332,0.0607,569978,75.7525704414,0.0124798303857
1.0,175.0,0.0852385,0.0551,569978,64.3560472299,0.0116798633811
1.0,180.0,0.0785656,0.0501,569978,59.3176688873,0.0118398540693
1.0,185.0,0.0659389,0.0458,569978,49.7839910716,0.0108698670462
1.0,190.0,0.0636127,0.0418,569978,48.0276317917,0.011489864065
1.0,195.0,0.0578299,0.0383,569978,43.6614466401,0.0113998555196
1.0,200.0,0.0515572,0.0351,569978,38.9254103015,0.0110898604848
2.0,100.0,2.00484,0.3315,569978,1515.60282232,0.0457195421514
2.0,105.0,1.77956,0.2848,569978,1345.09675856,0.0472295210167
2.0,110.0,1.5369,0.2465,569978,1161.49329359,0.0471194033912
2.0,115.0,1.40309,0.2142,569978,1060.27406487,0.0494992560632
2.0,120.0,1.20028,0.1873,569978,906.894661865,0.0484193626196
2.0,125.0,1.07603,0.1646,569978,812.948283544,0.0493893246382
2.0,130.0,0.974353,0.1453,569978,736.08102187,0.0506593958617
2.0,135.0,0.833743,0.1289,569978,629.797673176,0.0488594005567
2.0,140.0,0.784888,0.1145,569978,592.874113852,0.0517793985897
2.0,145.0,0.697095,0.1022,569978,526.5280537,0.0515193790313
2.0,150.0,0.613001,0.0915,569978,462.984597695,0.0505994095841
2.0,155.0,0.567836,0.0823,569978,428.859754446,0.0521093261781
2.0,160.0,0.505192,0.0742,569978,381.531865983,0.0514193889465
2.0,165.0,0.464522,0.067,569978,350.80755801,0.0523593370165
2.0,170.0,0.42423,0.0607,569978,320.370443405,0.0527793152233
2.0,175.0,0.376057,0.0551,569978,283.982047912,0.0515393916356
2.0,180.0,0.348838,0.0501,569978,263.422682908,0.052579377826
2.0,185.0,0.311082,0.0458,569978,234.905618105,0.0512894362675
2.0,190.0,0.295208,0.0418,569978,222.916429358,0.0533292893202
2.0,195.0,0.274551,0.0383,569978,207.315151749,0.054129282441
2.0,200.0,0.242181,0.0351,569978,182.868444931,0.05209927206
3.0,100.0,2.2439,0.3315,569978,1696.59406956,0.0511793082825
3.0,105.0,2.0358,0.2848,569978,1539.03927052,0.0540393002289
3.0,110.0,1.72065,0.2465,569978,1300.5183539,0.0527593652698
3.0,115.0,1.556,0.2142,569978,1175.94275896,0.054899288467
3.0,120.0,1.44793,0.1873,569978,1094.19083429,0.0584191582645
3.0,125.0,1.27499,0.1646,569978,963.390906976,0.0585292167057
3.0,130.0,1.16519,0.1453,569978,880.361277539,0.0605892138705
3.0,135.0,1.02507,0.1289,569978,774.421505779,0.060079247927
3.0,140.0,0.95334,0.1145,569978,720.196597927,0.0628992661945
3.0,145.0,0.834354,0.1022,569978,630.259468973,0.0616692239699
3.0,150.0,0.776949,0.0915,569978,586.874213848,0.064139258344
3.0,155.0,0.70442,0.0823,569978,532.063335534,0.0646492509761
3.0,160.0,0.646019,0.0742,569978,487.932951623,0.0657591579006
3.0,165.0,0.591072,0.067,569978,446.41567926,0.0666292058597
3.0,170.0,0.534629,0.0607,569978,403.771193272,0.0665191422194
3.0,175.0,0.495095,0.0551,569978,373.903894063,0.067859145928
3.0,180.0,0.451972,0.0501,569978,341.326946339,0.0681291310057
3.0,185.0,0.414828,0.0458,569978,313.268280823,0.0683991879526
3.0,190.0,0.387295,0.0418,569978,292.470678201,0.0699690617706
3.0,195.0,0.35457,0.0383,569978,267.752180811,0.0699091855903
3.0,200.0,0.328669,0.0351,569978,248.188882229,0.070709083256
4.0,100.0,2.14496,0.3315,569978,1621.68009562,0.048919459898
4.0,105.0,1.87627,0.2848,569978,1418.28673652,0.0497993938384
4.0,110.0,1.70013,0.2465,569978,1284.99126559,0.0521294631073
4.0,115.0,1.53448,0.2142,569978,1159.66254972,0.0541392413499
4.0,120.0,1.39742,0.1873,569978,1055.98544639,0.0563793617936
4.0,125.0,1.23298,0.1646,569978,931.621951874,0.0565991465294
4.0,130.0,1.12522,0.1453,569978,850.139371779,0.0585092478857
4.0,135.0,1.01961,0.1289,569978,770.293790919,0.0597590217936
4.0,140.0,0.919561,0.1145,569978,694.662857272,0.0606692451766
4.0,145.0,0.832326,0.1022,569978,628.726701384,0.0615192467108
4.0,150.0,0.739537,0.0915,569978,558.600940278,0.0610492830905
4.0,155.0,0.684598,0.0823,569978,517.084571216,0.0628292310104
4.0,160.0,0.627853,0.0742,569978,474.206612826,0.0639092470116
4.0,165.0,0.584865,0.067,569978,441.725936876,0.0659292443098
4.0,170.0,0.534147,0.0607,569978,403.407040631,0.0664591500216
4.0,175.0,0.496773,0.0551,569978,375.171564215,0.0680892131062
4.0,180.0,0.438045,0.0501,569978,330.806295833,0.0660292007652
4.0,185.0,0.403975,0.0458,569978,305.0701595,0.0666092051311
4.0,190.0,0.376837,0.0418,569978,284.571217317,0.0680792385926
4.0,195.0,0.345544,0.0383,569978,260.934671594,0.0681291570742
4.0,200.0,0.320723,0.0351,569978,242.187319109,0.0689992362134
5.0,100.0,1.9352,0.3315,569978,1462.88946351,0.0441293955811
5.0,105.0,1.73176,0.2848,569978,1308.92525267,0.0459594540964
5.0,110.0,1.54439,0.2465,569978,1167.15955872,0.047349272159
5.0,115.0,1.39063,0.2142,569978,1050.84973576,0.0490592780466
5.0,120.0,1.24957,0.1873,569978,944.167490935,0.0504093695107
5.0,125.0,1.12088,0.1646,569978,846.857930112,0.051449448974
5.0,130.0,1.00395,0.1453,569978,758.455125922,0.052199251612
5.0,135.0,0.910143,0.1289,569978,687.543940429,0.0533393281947
5.0,140.0,0.827307,0.1145,569978,624.933346042,0.0545793315321
5.0,145.0,0.763767,0.1022,569978,576.912055412,0.0564493204904
5.0,150.0,0.682386,0.0915,569978,515.41306767,0.0563292970131
5.0,155.0,0.62317,0.0823,569978,470.668163411,0.0571893272674
5.0,160.0,0.573841,0.0742,569978,433.396771389,0.0584092683812
5.0,165.0,0.518178,0.067,569978,391.342538205,0.0584093340604
5.0,170.0,0.488833,0.0607,569978,369.173197546,0.0608193076682
5.0,175.0,0.428722,0.0551,569978,323.763679721,0.0587592885157
5.0,180.0,0.399114,0.0501,569978,301.398303509,0.0601593420178
5.0,185.0,0.366382,0.0458,569978,276.67413185,0.0604091990938
5.0,190.0,0.335221,0.0418,569978,253.13761355,0.0605592376914
5.0,195.0,0.31446,0.0383,569978,237.456959665,0.0619992061788
5.0,200.0,0.291398,0.0351,569978,220.038880303,0.0626891396875
6.0,100.0,1.67369,0.3315,569978,1264.98524931,0.0381594343682
6.0,105.0,1.50252,0.2848,569978,1135.48517665,0.0398695637869
6.0,110.0,1.3769,0.2465,569978,1040.46500097,0.042209533508
6.0,115.0,1.22296,0.2142,569978,924.044851997,0.0431393488327
6.0,120.0,1.05561,0.1873,569978,797.51004358,0.042579286897
6.0,125.0,0.966734,0.1646,569978,730.321515887,0.0443694724111
6.0,130.0,0.891891,0.1453,569978,673.747795827,0.0463694284809
6.0,135.0,0.782578,0.1289,569978,591.128324626,0.0458594510959
6.0,140.0,0.723981,0.1145,569978,546.845257101,0.0477594111005
6.0,145.0,0.670587,0.1022,569978,506.497205385,0.0495594134427
6.0,150.0,0.603918,0.0915,569978,456.121687108,0.0498493647113
6.0,155.0,0.542347,0.0823,569978,409.6022002,0.0497694046415
6.0,160.0,0.500576,0.0742,569978,378.04460777,0.0509494080553
6.0,165.0,0.456984,0.067,569978,345.113128691,0.0515094221926
6.0,170.0,0.420213,0.0607,569978,317.336037021,0.0522794130183
6.0,175.0,0.375182,0.0551,569978,283.321121419,0.0514194412739
6.0,180.0,0.354211,0.0501,569978,267.481019737,0.0533894250971
6.0,185.0,0.337035,0.0458,569978,254.507736925,0.0555693748744
6.0,190.0,0.293216,0.0418,569978,221.411945206,0.0529693648819
6.0,195.0,0.280231,0.0383,569978,211.604950749,0.0552493343991
6.0,200.0,0.261283,0.0351,569978,197.294669539,0.056209307561
7.0,100.0,1.41735,0.3315,569978,1071.06004483,0.0323095036149
7.0,105.0,1.27923,0.2848,569978,966.597393382,0.033939515217
7.0,110.0,1.12787,0.2465,569978,852.143026309,0.0345696968077
7.0,115.0,1.03004,0.2142,569978,778.178810636,0.0363295429802
7.0,120.0,0.92331,0.1873,569978,697.496691621,0.0372395457353
7.0,125.0,0.844136,0.1646,569978,637.65278741,0.0387395375097
7.0,130.0,0.776353,0.1453,569978,586.423789337,0.0403595175043
7.0,135.0,0.683137,0.1289,569978,515.980562222,0.0400295238341
7.0,140.0,0.627612,0.1145,569978,474.024513997,0.0413995208731
7.0,145.0,0.577801,0.1022,569978,436.388729031,0.0426994842496
7.0,150.0,0.519629,0.0915,569978,392.438751163,0.0428894810014
7.0,155.0,0.484611,0.0823,569978,365.983663525,0.0444694609386
7.0,160.0,0.436929,0.0742,569978,329.963262229,0.0444694423489
7.0,165.0,0.399953,0.067,569978,302.032057669,0.0450794115924
7.0,170.0,0.372802,0.0607,569978,281.523405234,0.0463794736794
7.0,175.0,0.328057,0.0551,569978,247.726640287,0.044959462847
7.0,180.0,0.308244,0.0501,569978,232.762137483,0.0464595084797
7.0,185.0,0.287553,0.0458,569978,217.134911791,0.0474093693867
7.0,190.0,0.264934,0.0418,569978,200.052021631,0.0478593353184
7.0,195.0,0.246254,0.0383,569978,185.944427971,0.0485494590003
7.0,200.0,0.2228,0.0351,569978,168.231886774,0.0479293124712
8.0,100.0,1.24334,0.3315,569978,939.45626463,0.0283395554941
8.0,105.0,1.12971,0.2848,569978,853.534247174,0.0299696013755
8.0,110.0,0.973321,0.2465,569978,735.300888507,0.0298296506494
8.0,115.0,0.902815,0.2142,569978,682.004882855,0.0318396303854
8.0,120.0,0.809569,0.1873,569978,611.527184808,0.0326496094398
8.0,125.0,0.738943,0.1646,569978,558.152049498,0.0339096020351
8.0,130.0,0.674065,0.1453,569978,509.125326258,0.0350395957507
8.0,135.0,0.601254,0.1289,569978,454.10884426,0.0352295457145
8.0,140.0,0.549871,0.1145,569978,415.286696043,0.0362695804404
8.0,145.0,0.502725,0.1022,569978,379.668114195,0.0371495219369
8.0,150.0,0.449138,0.0915,569978,339.186087392,0.0370695177478
8.0,155.0,0.419462,0.0823,569978,316.768740033,0.0384895188376
8.0,160.0,0.38978,0.0742,569978,294.347741554,0.0396695069479
8.0,165.0,0.34966,0.067,569978,264.043554455,0.0394094857395
8.0,170.0,0.323379,0.0607,569978,244.193371941,0.0402295505669
8.0,175.0,0.293696,0.0551,569978,221.774471145,0.0402494502986
8.0,180.0,0.262274,0.0501,569978,198.043103149,0.0395295615068
8.0,185.0,0.247651,0.0458,569978,186.999464522,0.0408295774066
8.0,190.0,0.229733,0.0418,569978,173.467654856,0.0414994389607
8.0,195.0,0.216839,0.0383,569978,163.730206832,0.0427494012615
8.0,200.0,0.197656,0.0351,569978,149.243662892,0.0425195620776
9.0,100.0,1.00835,0.3315,569978,761.781418238,0.022979831621
9.0,105.0,0.924401,0.2848,569978,698.321371051,0.0245197110622
9.0,110.0,0.825266,0.2465,569978,623.390767428,0.0252896863054
9.0,115.0,0.764797,0.2142,569978,577.690460861,0.0269696760439
9.0,120.0,0.689862,0.1873,569978,521.06234618,0.0278196661068
9.0,125.0,0.609337,0.1646,569978,460.216151739,0.0279596689999
9.0,130.0,0.562339,0.1453,569978,424.70658339,0.0292296340943
9.0,135.0,0.518169,0.1289,569978,391.33573882,0.0303596383879
9.0,140.0,0.458329,0.1145,569978,346.129177513,0.0302296224903
9.0,145.0,0.417225,0.1022,569978,315.078938634,0.030829641745
9.0,150.0,0.395479,0.0915,569978,298.652547196,0.0326396226444
9.0,155.0,0.37076,0.0823,569978,279.980999477,0.0340195625124
9.0,160.0,0.324847,0.0742,569978,245.302142122,0.0330595878871
9.0,165.0,0.297501,0.067,569978,224.648252626,0.0335295899442
9.0,170.0,0.274837,0.0607,569978,207.53115142,0.034189646033
9.0,175.0,0.248974,0.0551,569978,187.9986169,0.0341195311978
9.0,180.0,0.235208,0.0501,569978,177.602382361,0.0354495773177
9.0,185.0,0.209686,0.0458,569978,158.328388851,0.0345695172164
9.0,190.0,0.203719,0.0418,569978,153.822256062,0.03679958279
9.0,195.0,0.180476,0.0383,569978,136.270049186,0.035579647307
9.0,200.0,0.168141,0.0351,569978,126.955357849,0.0361696176209
10.0,100.0,0.900905,0.3315,569978,680.561168982,0.0205297486873
10.0,105.0,0.817014,0.2848,569978,617.153985473,0.021669732636
10.0,110.0,0.743074,0.2465,569978,561.273888147,0.0227697317707
10.0,115.0,0.664456,0.2142,569978,501.86439729,0.0234297104244
10.0,120.0,0.611038,0.1873,569978,461.501392036,0.0246396899112
10.0,125.0,0.539624,0.1646,569978,407.544946458,0.0247597172817
10.0,130.0,0.504643,0.1453,569978,381.117110802,0.0262296703924
10.0,135.0,0.448042,0.1289,569978,338.358149743,0.0262496625091
10.0,140.0,0.403763,0.1145,569978,304.910020462,0.0266296961102
10.0,145.0,0.367029,0.1022,569978,277.162834013,0.0271196510776
10.0,150.0,0.32849,0.0915,569978,248.053683975,0.0271096922377
10.0,155.0,0.312357,0.0823,569978,235.868600923,0.0286596112908
10.0,160.0,0.288007,0.0742,569978,217.47779833,0.0293096763248
10.0,165.0,0.255363,0.067,569978,192.823724339,0.0287796603492
10.0,170.0,0.230471,0.0607,569978,174.024991719,0.028669685621
10.0,175.0,0.228984,0.0551,569978,172.902011361,0.031379675383
10.0,180.0,0.200379,0.0501,569978,151.299985113,0.030199597827
10.0,185.0,0.18288,0.0458,569978,138.085431151,0.0301496574566
10.0,190.0,0.175821,0.0418,569978,132.754839725,0.0317595310347
10.0,195.0,0.157957,0.0383,569978,119.265094216,0.0311397112835
10.0,200.0,0.14913,0.0351,569978,112.599628537,0.0320796662499
11.0,100.0,0.769325,0.3315,569978,581.112434496,0.0175297868626
11.0,105.0,0.722049,0.2848,569978,545.385259871,0.0191497633382
11.0,110.0,0.633796,0.2465,569978,478.697143006,0.0194197623938
11.0,115.0,0.595003,0.2142,569978,449.385793819,0.0209797289365
11.0,120.0,0.521298,0.1873,569978,393.699663091,0.021019736417
11.0,125.0,0.461189,0.1646,569978,348.289703703,0.0211597632869
11.0,130.0,0.417899,0.1453,569978,315.58806915,0.0217197569959
11.0,135.0,0.377397,0.1289,569978,284.994211111,0.0221097138178
11.0,140.0,0.346464,0.1145,569978,261.629561336,0.0228497433482
11.0,145.0,0.313448,0.1022,569978,236.692613394,0.0231597469074
11.0,150.0,0.291904,0.0915,569978,220.42104215,0.0240897313825
11.0,155.0,0.257982,0.0823,569978,194.80166013,0.0236697035395
11.0,160.0,0.24242,0.0742,569978,183.048940408,0.0246696685186
11.0,165.0,0.220497,0.067,569978,166.492682945,0.0248496541709
11.0,170.0,0.209412,0.0607,569978,158.121469957,0.0260496655613
11.0,175.0,0.189292,0.0551,569978,142.927484862,0.025939652425
11.0,180.0,0.177027,0.0501,569978,133.665544972,0.0266797494955
11.0,185.0,0.157953,0.0458,569978,119.262073708,0.0260397540848
11.0,190.0,0.151466,0.0418,569978,114.363586948,0.0273597097962
11.0,195.0,0.138683,0.0383,569978,104.710965217,0.0273396776023
11.0,200.0,0.128073,0.0351,569978,96.6993302342,0.0275496667334
12.0,100.0,0.681154,0.3315,569978,514.482105793,0.0155198221959
12.0,105.0,0.576941,0.2848,569978,435.738959119,0.0152998230028
12.0,110.0,0.539511,0.2465,569978,407.459573987,0.0165298001618
12.0,115.0,0.480747,0.2142,569978,363.064598279,0.0169497945041
12.0,120.0,0.434275,0.1873,569978,327.958418501,0.0175097927657
12.0,125.0,0.38122,0.1646,569978,287.881907484,0.017489787818
12.0,130.0,0.357114,0.1453,569978,269.673727047,0.0185597885098
12.0,135.0,0.327225,0.1289,569978,247.098233543,0.0191697621057
12.0,140.0,0.292041,0.1145,569978,220.524512892,0.0192597827853
12.0,145.0,0.271635,0.1022,569978,205.112866067,0.0200697520613
12.0,150.0,0.247804,0.0915,569978,187.115012667,0.0204497281603
12.0,155.0,0.22529,0.0823,569978,170.112317203,0.0206697833782
12.0,160.0,0.209801,0.0742,569978,158.415234394,0.0213497620478
12.0,165.0,0.189711,0.067,569978,143.243896229,0.0213796860043
12.0,170.0,0.183048,0.0607,569978,138.212296663,0.0227697358588
12.0,175.0,0.166016,0.0551,569978,125.350693922,0.0227496722181
12.0,180.0,0.151086,0.0501,569978,114.076641287,0.02276978868
12.0,185.0,0.143821,0.0458,569978,108.590721093,0.0237097644307
12.0,190.0,0.132368,0.0418,569978,99.9424808792,0.0239096844209
12.0,195.0,0.123061,0.0383,569978,92.914796859,0.0242597380833
12.0,200.0,0.111292,0.0351,569978,84.0281890558,0.0239396550017
13.0,100.0,0.551729,0.3315,569978,416.690451876,0.0125698477187
13.0,105.0,0.527937,0.2848,569978,398.715385286,0.0139998379665
13.0,110.0,0.452719,0.2465,569978,341.891246065,0.0138698274266
13.0,115.0,0.439917,0.2142,569978,332.220419516,0.0155098235068
13.0,120.0,0.383693,0.1873,569978,289.749891503,0.0154698286975
13.0,125.0,0.342431,0.1646,569978,258.583382475,0.0157098045246
13.0,130.0,0.317101,0.1453,569978,239.451666567,0.0164798118766
13.0,135.0,0.279951,0.1289,569978,211.393481028,0.0163998045793
13.0,140.0,0.270058,0.1145,569978,203.921852971,0.0178097688184
13.0,145.0,0.239428,0.1022,569978,180.789352608,0.0176897605291
13.0,150.0,0.220423,0.0915,569978,166.436798933,0.018189814091
13.0,155.0,0.19532,0.0823,569978,147.479596563,0.017919756569
13.0,160.0,0.183763,0.0742,569978,138.752230554,0.0186997615302
13.0,165.0,0.167619,0.067,569978,126.561176457,0.0188897278293
13.0,170.0,0.154512,0.0607,569978,116.663688177,0.0192197179863
13.0,175.0,0.141937,0.0551,569978,107.168090532,0.0194497441981
13.0,180.0,0.13211,0.0501,569978,99.7476647899,0.0199097135309
13.0,185.0,0.121379,0.0458,569978,91.6447336272,0.0200097671675
13.0,190.0,0.112384,0.0418,569978,84.8527371996,0.0202996978946
13.0,195.0,0.102721,0.0383,569978,77.5564336393,0.0202497215768
13.0,200.0,0.0960916,0.0351,569978,72.5507839524,0.0206697390178
14.0,100.0,0.512678,0.3315,569978,387.187373821,0.0116798604471
14.0,105.0,0.44877,0.2848,569978,338.908093595,0.0118998628369
14.0,110.0,0.40573,0.2465,569978,306.395840532,0.0124298515429
14.0,115.0,0.360802,0.2142,569978,272.459376326,0.0127198588387
14.0,120.0,0.347489,0.1873,569978,262.403760144,0.0140098110061
14.0,125.0,0.299499,0.1646,569978,226.157276927,0.0137398102629
14.0,130.0,0.289591,0.1453,569978,218.674126549,0.0150498366517
14.0,135.0,0.243085,0.1289,569978,183.551156159,0.014239810408
14.0,140.0,0.228972,0.1145,569978,172.892948986,0.0150998208721
14.0,145.0,0.202348,0.1022,569978,152.786915349,0.0149497960225
14.0,150.0,0.189768,0.0915,569978,143.286940271,0.015659774893
14.0,155.0,0.169491,0.0823,569978,127.974793749,0.0155497926791
14.0,160.0,0.163424,0.0742,569978,123.393387612,0.0166298366054
14.0,165.0,0.140114,0.067,569978,105.791525168,0.0157897798758
14.0,170.0,0.127825,0.0607,569978,96.5120662202,0.0158998461648
14.0,175.0,0.12406,0.0551,569978,93.6691342081,0.016999842869
14.0,180.0,0.114262,0.0501,569978,86.2707815767,0.0172197168816
14.0,185.0,0.111068,0.0458,569978,83.8590511225,0.0183098364896
14.0,190.0,0.0972162,0.0418,569978,73.3999306498,0.0175597920215
14.0,195.0,0.092475,0.0383,569978,69.8200225235,0.0182297708939
14.0,200.0,0.0870734,0.0351,569978,65.7414977103,0.0187297714274
15.0,100.0,0.448612,0.3315,569978,338.788737604,0.0102198714209
15.0,105.0,0.374119,0.2848,569978,282.518191179,0.00991988030826
15.0,110.0,0.357106,0.2465,569978,269.667684439,0.0109398654945
15.0,115.0,0.33613,0.2142,569978,253.824185436,0.0118498686011
15.0,120.0,0.278798,0.1873,569978,210.522679753,0.0112398654433
15.0,125.0,0.277706,0.1646,569978,209.69794985,0.0127398511452
15.0,130.0,0.239377,0.1453,569978,180.750836984,0.0124398373699
15.0,135.0,0.222262,0.1289,569978,167.825593785,0.0130198288429
15.0,140.0,0.196981,0.1145,569978,148.7339257,0.0129898625065
15.0,145.0,0.181642,0.1022,569978,137.150554026,0.0134198193763
15.0,150.0,0.168322,0.0915,569978,127.092037668,0.0138898401823
15.0,155.0,0.142244,0.0823,569978,107.399909601,0.0130498067559
15.0,160.0,0.140234,0.0742,569978,105.882138255,0.0142698299535
15.0,165.0,0.134347,0.067,569978,101.436828212,0.0151398251063
15.0,170.0,0.122841,0.0607,569978,92.7486766559,0.015279847884
15.0,175.0,0.109976,0.0551,569978,83.0345044159,0.0150697830156
15.0,180.0,0.100064,0.0501,569978,75.5502119289,0.0150798826205
15.0,185.0,0.0912938,0.0458,569978,68.9281447513,0.0150498132645
15.0,190.0,0.0878051,0.0418,569978,66.2939724171,0.0158598020137
15.0,195.0,0.0805041,0.0383,569978,60.781330233,0.0158697990165
15.0,200.0,0.0728485,0.0351,569978,55.0010034994,0.0156698015668
